script,config,feature,category
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Standard_Deviation_1,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Standard_Deviation_2,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Standard_Deviation_3,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Standard_Deviation_4,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Standard_Deviation_5,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Standard_Deviation_6,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Standard_Deviation_7,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Standard_Deviation_8,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Standard_Deviation_9,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Standard_Deviation_10,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Average_1,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Average_2,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Average_3,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Average_4,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Average_5,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Average_6,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Average_7,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Average_8,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Average_9,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,Area_Method_of_Moments_Overall_Average_10,audio:Area_MoM
02_diagnostics_vif_pca,audio_only_152,LPC_Overall_Standard_Deviation_1,audio:LPC
