feature,importance,category
term_norm,32.67866968555162,genre_text
n_tracks,14.731355272348955,numeric
n_genres,13.14749719779959,numeric
year_known_ratio,7.550709171302215,numeric
year_mean,4.543257117505992,numeric
duration_mean,0.7547395267171138,numeric
Std_Acc5_Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.7080127620854219,audio:marsyas
Std_Acc5_Std_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.6815152084586233,audio:marsyas
Area_Method_of_Moments_Overall_Standard_Deviation_2,0.6563351529658648,audio:Area_MoM
LPC_Overall_Average_4,0.5677286144537296,audio:LPC
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.5644879788369642,audio:marsyas
MFCC_Overall_Standard_Deviation_1,0.46358147921429016,audio:MFCC_simple
LPC_Overall_Average_2,0.41485807977084405,audio:LPC
Fraction_Of_Low_Energy_Windows_Overall_Average_1,0.4145576644476062,audio:lowlevel
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.4124134455402197,audio:marsyas
Mean_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.4015661538500824,audio:marsyas
Std_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.3986902958869488,audio:marsyas
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.39402014248134287,audio:marsyas
MFCC_Overall_Average_4,0.3851813972096757,audio:MFCC_simple
Fraction_Of_Low_Energy_Windows_Overall_Standard_Deviation_1,0.354695331328425,audio:lowlevel
Area_Method_of_Moments_Overall_Average_1,0.35242245906661174,audio:Area_MoM
LPC_Overall_Standard_Deviation_5,0.34372107680414166,audio:LPC
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.34225559428928637,audio:marsyas
LPC_Overall_Average_3,0.3405758999054908,audio:LPC
Compactness_Overall_Standard_Deviation_1,0.33834890450971467,audio:lowlevel
LPC_Overall_Standard_Deviation_4,0.3379066680963552,audio:LPC
Std_Acc5_Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.3372434681955394,audio:marsyas
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.3147502511101633,audio:marsyas
MFCC_Overall_Average_10,0.3022022239908294,audio:MFCC_simple
Area_Method_of_Moments_Overall_Average_4,0.28699422160595056,audio:Area_MoM
Spectral_Flux_Overall_Average_1,0.28631590659720557,audio:lowlevel
Mean_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.28442842788342737,audio:marsyas
Std_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.28366414060876166,audio:marsyas
LPC_Overall_Average_8,0.27961776350749334,audio:LPC
Std_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.27897500591688923,audio:marsyas
Compactness_Overall_Average_1,0.2781370871916796,audio:lowlevel
Area_Method_of_Moments_Overall_Average_2,0.26673961952394193,audio:Area_MoM
Std_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.2661308832054167,audio:marsyas
MFCC_Overall_Average_6,0.2654835264987847,audio:MFCC_simple
MFCC_Overall_Average_12,0.26514713033778486,audio:MFCC_simple
Area_Method_of_Moments_Overall_Standard_Deviation_4,0.2529438076833744,audio:Area_MoM
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.25081583601663676,audio:marsyas
Std_Acc5_Std_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.25050391911000314,audio:marsyas
MFCC_Overall_Average_3,0.2443287703348498,audio:MFCC_simple
LPC_Overall_Average_7,0.24212243472740086,audio:LPC
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.23827882815065304,audio:marsyas
MFCC_Overall_Average_11,0.22890454359586104,audio:MFCC_simple
Spectral_Flux_Overall_Standard_Deviation_1,0.2258762407735644,audio:lowlevel
Area_Method_of_Moments_Overall_Standard_Deviation_7,0.22169199096432537,audio:Area_MoM
MFCC_Overall_Standard_Deviation_7,0.22098944920007577,audio:MFCC_simple
LPC_Overall_Standard_Deviation_9,0.2207665822194326,audio:LPC
MFCC_Overall_Standard_Deviation_5,0.21188090654149577,audio:MFCC_simple
LPC_Overall_Standard_Deviation_8,0.2115363026024611,audio:LPC
LPC_Overall_Standard_Deviation_6,0.20665873788556083,audio:LPC
Area_Method_of_Moments_Overall_Standard_Deviation_1,0.20655904625371663,audio:Area_MoM
LPC_Overall_Average_5,0.205099934726837,audio:LPC
MFCC_Overall_Average_13,0.20127108237609267,audio:MFCC_simple
LPC_Overall_Standard_Deviation_1,0.19926723666030188,audio:LPC
Std_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,0.1992008191479478,audio:marsyas
MFCC_Overall_Standard_Deviation_3,0.1934316707662849,audio:MFCC_simple
MFCC_Overall_Standard_Deviation_2,0.1912070697206293,audio:MFCC_simple
Area_Method_of_Moments_Overall_Average_7,0.18894374658552074,audio:Area_MoM
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.18570291113880202,audio:marsyas
