column,n_total,n_nan,n_zero,n_pos,mean,median
song_hotttnesss,1000000,418035,124760,457205,0.4532086115383707,0.4454545254934259
artist_hotttnesss,1000000,12,50528,949460,0.40002615279021086,0.39085145012196437
artist_familiarity,1000000,185,2548,997267,0.558626980327484,0.5593330820447124
year,1000000,0,484424,515576,1998.3972333855727,2002.0
loudness,1000000,0,0,356,1.4910870786516857,1.1749999999999998
tempo,1000000,0,3230,996770,124.29067735786587,122.258
key,1000000,0,122237,877763,6.063099036983787,7.0
key_confidence,1000000,0,55849,944151,0.468670859851867,0.484
mode,1000000,0,333592,666408,1.0,1.0
mode_confidence,1000000,0,31794,968206,0.48761209804525085,0.49
time_signature,1000000,0,619,999381,3.5961730311062547,4.0
time_signature_confidence,1000000,0,204888,795112,0.64885946256628,0.686
duration,1000000,0,0,1000000,249.50075499365,228.85832
end_of_fade_in,1000000,0,311267,688733,1.1903740288326534,0.325
start_of_fade_out,1000000,0,0,1000000,240.62502357900007,219.759
