feature,imp_mean,imp_std
year_per_track,0.11244074846146042,0.0005670829854993286
n_tracks_a,0.06771045591045503,0.0005527182185501327
n_genres_a,0.03477462433552921,0.0006242004429563549
year_known_ratio_a,0.014653009805514835,0.0003854524944165624
loudness,0.0018174870748229506,0.00017725237392778457
start_of_fade_out,0.0012625544497688601,6.315391706585842e-05
end_of_fade_in,0.0004982095666686096,2.787363261201285e-05
duration_per_track,0.00028674837209582044,1.4975707061489756e-05
mode_confidence,9.33103816321464e-05,8.03186997534892e-06
mode,6.065577694554699e-05,1.5735226820294725e-05
tempo,1.7974271402228698e-05,5.738417321702647e-06
time_signature,6.969253809496756e-06,2.70991059879711e-07
key,6.060832351921045e-07,2.5629089150137854e-06
time_signature_confidence,5.714736410385631e-07,1.0972794428501312e-06
key_confidence,0.0,0.0
year_known_per_track,0.0,0.0
