feature,category,in_raw_216,in_after_manual,in_after_zerovar,final_audio_152
Area_Method_of_Moments_Overall_Standard_Deviation_1,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_2,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_3,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_4,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_5,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_6,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_7,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_8,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_9,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_10,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Average_1,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Average_2,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Average_3,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Average_4,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Average_5,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Average_6,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Average_7,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Average_8,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Average_9,audio:Area_MoM,1,1,1,1
Area_Method_of_Moments_Overall_Average_10,audio:Area_MoM,1,1,1,1
LPC_Overall_Standard_Deviation_1,audio:LPC,1,1,1,1
LPC_Overall_Standard_Deviation_2,audio:LPC,1,1,1,1
LPC_Overall_Standard_Deviation_3,audio:LPC,1,1,1,1
LPC_Overall_Standard_Deviation_4,audio:LPC,1,1,1,1
LPC_Overall_Standard_Deviation_5,audio:LPC,1,1,1,1
LPC_Overall_Standard_Deviation_6,audio:LPC,1,1,1,1
LPC_Overall_Standard_Deviation_7,audio:LPC,1,1,1,1
LPC_Overall_Standard_Deviation_8,audio:LPC,1,1,1,1
LPC_Overall_Standard_Deviation_9,audio:LPC,1,1,1,1
LPC_Overall_Standard_Deviation_10,audio:LPC,1,1,0,0
LPC_Overall_Average_1,audio:LPC,1,1,1,1
LPC_Overall_Average_2,audio:LPC,1,1,1,1
LPC_Overall_Average_3,audio:LPC,1,1,1,1
LPC_Overall_Average_4,audio:LPC,1,1,1,1
LPC_Overall_Average_5,audio:LPC,1,1,1,1
LPC_Overall_Average_6,audio:LPC,1,1,1,1
LPC_Overall_Average_7,audio:LPC,1,1,1,1
LPC_Overall_Average_8,audio:LPC,1,1,1,1
LPC_Overall_Average_9,audio:LPC,1,1,1,1
LPC_Overall_Average_10,audio:LPC,1,1,0,0
Spectral_Centroid_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1
Spectral_Rolloff_Point_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1
Spectral_Flux_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1
Compactness_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1
Spectral_Variability_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1
Root_Mean_Square_Overall_Standard_Deviation_1,audio:lowlevel,1,1,1,1
