feature,category,02_audio_only_152,03_audio_only,03_audio_plus_numeric,03_audio_plus_genre,03_full_187,03_non_audio_only,03_numeric_only,03_genre_only,04_full_187,05_full,05_drop_n_tracks,05_drop_n_genres,05_strict_drop_both,05_drop_year_known_ratio,05_audio_plus_genre,05_audio_only
Area_Method_of_Moments_Overall_Average_1,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Average_10,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Average_2,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Average_3,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Average_4,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Average_5,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Average_6,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Average_7,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Average_8,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Average_9,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_1,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_10,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_2,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_3,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_4,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_5,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_6,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_7,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_8,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Area_Method_of_Moments_Overall_Standard_Deviation_9,audio:Area_MoM,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Average_1,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Average_2,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Average_3,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Average_4,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Average_5,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Average_6,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Average_7,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Average_8,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Average_9,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Standard_Deviation_1,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Standard_Deviation_2,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Standard_Deviation_3,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Standard_Deviation_4,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Standard_Deviation_5,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Standard_Deviation_6,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Standard_Deviation_7,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Standard_Deviation_8,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
LPC_Overall_Standard_Deviation_9,audio:LPC,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
