feature,imp_mean,imp_std,category
n_tracks,0.1857061407452468,0.003401390672766585,numeric
n_genres,0.13308150234967792,0.0014111311725154853,numeric
year_known_ratio,0.05558260438037519,0.0018720104326599872,numeric
year_mean,0.03661837227756122,0.0004154955543803959,numeric
genre_pop,0.014176002361181706,0.0009864314209177079,genre
genre_alternative,0.01367527496371479,0.001170382845997352,genre
genre_alternative rock,0.007820902731040125,0.0006499415498534844,genre
genre_house,0.006267445880560452,0.0007903125385224606,genre
Area_Method_of_Moments_Overall_Standard_Deviation_2,0.006073635838359981,0.0006940968658231088,audio:Area_MoM
genre_american,0.005041051110827377,0.0005997044486360736,genre
genre_world,0.004958626995248472,0.0005352837152504544,genre
Std_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.003986628028189854,0.0004841415425586099,audio:marsyas
genre_synthpop,0.0030212458692229884,0.0006208268498533871,genre
genre_united states,0.002876008044944078,0.0005108483172749943,genre
genre_electronica,0.002744257689862417,0.00025583114675370303,genre
duration_mean,0.0025411776808794695,0.0004251035959923425,numeric
genre_indie,0.0025392911652354134,0.0008367203826987113,genre
genre_electronic,0.002416728172101701,0.0002849449329659728,genre
Area_Method_of_Moments_Overall_Standard_Deviation_1,0.002374600344580813,0.00031642099627278376,audio:Area_MoM
genre_folk,0.0011640680811388026,0.00033748626094605026,genre
Mean_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0011239842209518568,0.00025360343178670435,audio:marsyas
genre_punk,0.0010605378983280511,0.00032998113052959773,genre
Std_Acc5_Std_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0010319450838809808,0.00012298551727360501,audio:marsyas
genre_trance,0.0009982812589038436,0.00030516245506710194,genre
Mean_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0009154779358359066,0.00018289788432365598,audio:marsyas
LPC_Overall_Average_3,0.0008568761533345847,0.0001863408740138947,audio:LPC
genre_electro,0.0007526571494963497,0.00027774774161801955,genre
MFCC_Overall_Average_6,0.0007110388039745397,9.87217291451023e-05,audio:MFCC_simple
Area_Method_of_Moments_Overall_Average_1,0.0007070105369158863,0.00020249059351487895,audio:Area_MoM
Fraction_Of_Low_Energy_Windows_Overall_Standard_Deviation_1,0.0006503095158332473,0.00012892291157234269,audio:lowlevel
LPC_Overall_Standard_Deviation_8,0.000645835654879301,6.374520432010385e-05,audio:LPC
MFCC_Overall_Standard_Deviation_1,0.0005969904262011383,0.00039367134731581793,audio:MFCC_simple
LPC_Overall_Average_4,0.0005708044693854663,0.00024939055798401115,audio:LPC
Std_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0005519433065920732,0.00021529862592405076,audio:marsyas
Area_Method_of_Moments_Overall_Average_7,0.0005252099749486705,0.00019189497444520925,audio:Area_MoM
Std_Acc5_Std_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0005208757327375801,0.00036548197233159053,audio:marsyas
Spectral_Flux_Overall_Average_1,0.0004884524236505427,0.00024046064013894498,audio:lowlevel
Area_Method_of_Moments_Overall_Standard_Deviation_4,0.00046433539397847665,0.00013088755254037863,audio:Area_MoM
LPC_Overall_Standard_Deviation_1,0.00045458880885709265,0.00016946856991945864,audio:LPC
Std_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0004363169049003801,0.00015337715909756775,audio:marsyas
Std_Acc5_Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0004355717913159474,0.00014213634243876198,audio:marsyas
Mean_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,0.00043239439683362413,0.00021571183204003886,audio:marsyas
MFCC_Overall_Standard_Deviation_2,0.0004188371205005037,0.00029759491064414157,audio:MFCC_simple
Std_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0004108033316603921,0.00013058872726733165,audio:marsyas
Std_Acc5_Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0003985708032289592,7.538714787631509e-05,audio:marsyas
genre_soul,0.0003942008976694611,4.5360378442721773e-05,genre
Fraction_Of_Low_Energy_Windows_Overall_Average_1,0.00039076070183359236,0.00021584147818628946,audio:lowlevel
genre_rock,0.00037988408788625083,0.000495579751777244,genre
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00037141169734560274,0.0001427262612743019,audio:marsyas
Spectral_Flux_Overall_Standard_Deviation_1,0.0003703961110520959,0.0002119584621816164,audio:lowlevel
genre_hardcore,0.0003695174130221357,0.00011243374850786669,genre
genre_pop rock,0.00035956327978303726,9.30823012497522e-05,genre
Mean_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00035822698028389335,0.0001778133325682818,audio:marsyas
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0003218163296111021,0.00013877572728198304,audio:marsyas
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0003194289891677693,0.00018755659522754544,audio:marsyas
Compactness_Overall_Average_1,0.0003106833769795037,0.00015854332656211703,audio:lowlevel
Mean_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.000303555569350733,0.00017499300234282794,audio:marsyas
MFCC_Overall_Average_3,0.0002974348086949963,0.0002345323200360455,audio:MFCC_simple
Compactness_Overall_Standard_Deviation_1,0.0002961130732345385,9.804130871287325e-05,audio:lowlevel
genre_germany,0.00029478407086351853,8.72967322297884e-05,genre
MFCC_Overall_Average_4,0.0002889999070365912,0.00012098032404316555,audio:MFCC_simple
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00028110558852321164,0.0001543396581565542,audio:marsyas
MFCC_Overall_Standard_Deviation_10,0.00027444342702462874,8.278246171093066e-05,audio:MFCC_simple
Std_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,0.0002732072757004156,0.0003039029236436049,audio:marsyas
LPC_Overall_Standard_Deviation_5,0.00026858046813762473,0.00018016728082256,audio:LPC
Area_Method_of_Moments_Overall_Average_2,0.0002542212136622979,0.00012711844337837689,audio:Area_MoM
MFCC_Overall_Standard_Deviation_6,0.0002455764467515165,0.0001902749034193772,audio:MFCC_simple
LPC_Overall_Standard_Deviation_3,0.0002453116289365287,5.813786292141721e-05,audio:LPC
MFCC_Overall_Average_7,0.00023978354026767956,0.0001684237336101929,audio:MFCC_simple
Spectral_Rolloff_Point_Overall_Standard_Deviation_1,0.00023257995339285298,0.0001082716499145577,audio:lowlevel
MFCC_Overall_Standard_Deviation_4,0.00023044496799493608,0.00010669803134661595,audio:MFCC_simple
MFCC_Overall_Standard_Deviation_3,0.00022842118350041574,0.00014846983103298302,audio:MFCC_simple
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0002255905720689455,8.585833001729542e-05,audio:marsyas
genre_downtempo,0.00021876794965900448,9.798096250838377e-05,genre
Area_Method_of_Moments_Overall_Standard_Deviation_3,0.00021842929789059884,9.516071748777362e-05,audio:Area_MoM
Std_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0002131001650813813,0.00023696574091233203,audio:marsyas
Std_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00020689259699389063,0.00012383955089834177,audio:marsyas
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0001959168474508166,0.00010796559062452295,audio:marsyas
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00019406119845006843,0.00012731278332338056,audio:marsyas
LPC_Overall_Standard_Deviation_2,0.00019312267315840792,0.0001899151944686876,audio:LPC
LPC_Overall_Average_5,0.0001925488172215939,5.470379730035017e-05,audio:LPC
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00017240943693879184,0.00020932557047964695,audio:marsyas
Spectral_Centroid_Overall_Standard_Deviation_1,0.00016165916208399356,8.658063348803082e-05,audio:lowlevel
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0001567441093779598,0.00011405860576138357,audio:marsyas
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0001564947448260634,0.00016457761940605385,audio:marsyas
