feature,imp_mean,imp_std,category
year_known_ratio,0.09415438782053673,0.007805260629008299,numeric
Area_Method_of_Moments_Overall_Standard_Deviation_2,0.033634776660227496,0.0034349327986642714,audio:Area_MoM
genre_pop,0.030750886223875184,0.0014335101003107344,genre
genre_alternative,0.025796762067910615,0.0019051898884255025,genre
year_mean,0.019455252279338354,0.000954412239526598,numeric
genre_alternative rock,0.013082551559652567,0.001562039226049977,genre
genre_electronic,0.012163207238236717,0.0022708902862659834,genre
Area_Method_of_Moments_Overall_Standard_Deviation_7,0.011741335265976515,0.0011075080042935602,audio:Area_MoM
genre_american,0.010423464556414741,0.001229195953211395,genre
Std_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.010408093569328924,0.0010594665598768738,audio:marsyas
genre_rock,0.008634486593734425,0.0013412712802831823,genre
genre_electronica,0.008618476978622813,0.000314264450694248,genre
genre_house,0.0066450148384436854,0.0008133192636538275,genre
Mean_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.006437946306616338,0.0005635550129207251,audio:marsyas
genre_folk,0.004883505100273755,0.00022671343905317573,genre
duration_mean,0.004682717490713606,0.0008090583088423111,numeric
genre_punk,0.004237746847411716,0.0007743929586370323,genre
Fraction_Of_Low_Energy_Windows_Overall_Average_1,0.004154724701559353,0.0004517620938261984,audio:lowlevel
genre_hip hop,0.004007660073404562,0.0002454352108056115,genre
genre_soul,0.0032770550015925213,0.0003797221172076663,genre
genre_indie,0.0030391418891595246,0.0010245890347565284,genre
genre_hardcore,0.002615164990853014,0.00043807799532747977,genre
genre_world,0.002461944303301311,0.00032042307632546707,genre
Mean_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0020431226052857188,7.468345653831291e-05,audio:marsyas
LPC_Overall_Average_2,0.0019421210373077092,0.00048321234468159973,audio:LPC
genre_united states,0.0017950299396132686,0.00026951228836620046,genre
Std_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0017739802348847756,0.00021086290300803857,audio:marsyas
genre_ambient,0.0017378991517171371,0.0004165619434571679,genre
genre_pop rock,0.0016608452682703723,0.00016588566758182023,genre
genre_synthpop,0.0016303499598462779,0.00036450108603443477,genre
Std_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0016270808907222988,0.0006582768672821777,audio:marsyas
MFCC_Overall_Standard_Deviation_2,0.0015648112051348973,0.00035210042558411655,audio:MFCC_simple
MFCC_Overall_Average_10,0.001408948754967887,0.00027788786293012297,audio:MFCC_simple
MFCC_Overall_Standard_Deviation_1,0.001295030645806472,0.0003283683053273016,audio:MFCC_simple
Area_Method_of_Moments_Overall_Average_7,0.0012641298735140082,0.000366545020770149,audio:Area_MoM
Std_Acc5_Std_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.001208626532022783,0.00027727054773299734,audio:marsyas
genre_germany,0.001161441148320752,0.0001429021863155622,genre
genre_jazz,0.0010569615292791213,0.0004750217121360198,genre
genre_funk,0.0010376770518338407,0.00011116834230465777,genre
Area_Method_of_Moments_Overall_Standard_Deviation_1,0.0009212802229768169,0.00020024246017560934,audio:Area_MoM
Std_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0008909600257559269,0.0004579864686214366,audio:marsyas
MFCC_Overall_Average_12,0.0008067271468215287,0.0002297660010931985,audio:MFCC_simple
LPC_Overall_Average_4,0.0008010878917419806,0.00016366291372771723,audio:LPC
MFCC_Overall_Average_6,0.0007810419634534993,9.16981078830545e-05,audio:MFCC_simple
LPC_Overall_Average_3,0.0007660000669976296,0.00025731694761913984,audio:LPC
Mean_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.000711980063339146,0.00014600699957690883,audio:marsyas
Std_Acc5_Std_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0007110814584695869,0.00016747780304626755,audio:marsyas
LPC_Overall_Standard_Deviation_8,0.0006568133612258054,0.00019673263247150778,audio:LPC
Std_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0006549231942963418,0.0002750755714268005,audio:marsyas
MFCC_Overall_Standard_Deviation_3,0.000653177944106842,0.00016840896677284864,audio:MFCC_simple
Fraction_Of_Low_Energy_Windows_Overall_Standard_Deviation_1,0.0006481203708551986,0.00015042148184026585,audio:lowlevel
Std_Acc5_Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0006174636551437241,0.00042714913917886937,audio:marsyas
MFCC_Overall_Standard_Deviation_8,0.0006147966088796864,0.00014361862937001206,audio:MFCC_simple
Std_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0006131160975149985,0.000207069221870095,audio:marsyas
Area_Method_of_Moments_Overall_Standard_Deviation_4,0.000591675740042441,0.00011941528836731896,audio:Area_MoM
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0005915765795232008,0.00020592780123193693,audio:marsyas
Area_Method_of_Moments_Overall_Average_2,0.0005814908131760443,0.0004291770855206267,audio:Area_MoM
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0005594517787587572,0.00012285349528155554,audio:marsyas
MFCC_Overall_Average_5,0.0005316490375916194,0.00020312522911660103,audio:MFCC_simple
Mean_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00048329912400437716,0.0001593836538544677,audio:marsyas
MFCC_Overall_Standard_Deviation_13,0.00044644202169554783,0.00013431966399672928,audio:MFCC_simple
Mean_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,0.00043570386929339124,0.00020911057782438514,audio:marsyas
Std_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,0.00042023213670108197,0.0003419631464384854,audio:marsyas
Std_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00039684371502655134,0.00015844693577475182,audio:marsyas
LPC_Overall_Average_8,0.00039011954802050666,0.0002736167639683644,audio:LPC
MFCC_Overall_Standard_Deviation_11,0.0003894723576852277,0.00018414540740717232,audio:MFCC_simple
MFCC_Overall_Average_2,0.0003853174525283665,0.00020428075193076542,audio:MFCC_simple
MFCC_Overall_Average_7,0.00037918383272153024,0.0002246151058176448,audio:MFCC_simple
MFCC_Overall_Average_11,0.00037836283482544085,0.00015977011673427472,audio:MFCC_simple
Spectral_Flux_Overall_Average_1,0.0003648013563823271,0.0003012888696866477,audio:lowlevel
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00034145496328321647,0.0001314708977703571,audio:marsyas
Compactness_Overall_Standard_Deviation_1,0.00033805678891529745,0.00021970778056752623,audio:lowlevel
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0003375545891295184,0.0002442051549138278,audio:marsyas
Zero_Crossings_Overall_Average_1,0.00033640755763495454,6.32415963665378e-05,audio:lowlevel
MFCC_Overall_Standard_Deviation_10,0.00033289749577660734,0.00014555682758623278,audio:MFCC_simple
LPC_Overall_Standard_Deviation_4,0.00033152222653642927,0.00014717236311910604,audio:LPC
Mean_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00033131854654173677,0.0001531108600540779,audio:marsyas
MFCC_Overall_Average_8,0.0003310611436407873,0.00013964664065004603,audio:MFCC_simple
LPC_Overall_Average_1,0.00031698970427556094,0.00017339901798955716,audio:LPC
Std_Acc5_Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0002967356834856716,0.00018525611204525276,audio:marsyas
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0002809235712975644,3.899148679571759e-05,audio:marsyas
Area_Method_of_Moments_Overall_Average_1,0.0002784392855079254,9.617051965646611e-05,audio:Area_MoM
genre_blues,0.00026519105572473387,2.6801830781240524e-05,genre
MFCC_Overall_Average_4,0.0002614240029763959,0.00014616110709323414,audio:MFCC_simple
Mean_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0002544838829232843,6.116814274542661e-05,audio:marsyas
genre_downtempo,0.00024405187193254907,0.00014668497502850445,genre
Std_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00024309650451401766,0.0002557880331064425,audio:marsyas
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00024124786059251946,0.0001753683318791221,audio:marsyas
MFCC_Overall_Standard_Deviation_6,0.0002369417659811468,0.00023176245685333128,audio:MFCC_simple
LPC_Overall_Standard_Deviation_3,0.00023578426151227294,0.00020115860022264164,audio:LPC
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00023552651192459972,0.0001032247281761057,audio:marsyas
Compactness_Overall_Average_1,0.0002305545356755756,9.674603484045542e-05,audio:lowlevel
genre_disco,0.0002195927096469985,0.00016642816540288986,genre
Std_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,0.00021649360571587283,0.0001792795718577767,audio:marsyas
Std_Acc5_Std_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0002096827389150846,9.872526884642552e-05,audio:marsyas
LPC_Overall_Standard_Deviation_5,0.00020696868732796858,7.805339953545656e-05,audio:LPC
LPC_Overall_Standard_Deviation_2,0.000199181461283926,0.00024757677014575875,audio:LPC
MFCC_Overall_Standard_Deviation_7,0.00019311733990095002,0.00011682261182184056,audio:MFCC_simple
Root_Mean_Square_Overall_Standard_Deviation_1,0.00019223214189068027,0.00010800091652520815,audio:lowlevel
Mean_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00018585199612364267,0.00017221461640318944,audio:marsyas
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00017849585057885253,0.00015398455455829072,audio:marsyas
MFCC_Overall_Average_9,0.00017349872617034023,0.00012631203811917788,audio:MFCC_simple
Std_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.00016002428954953185,0.00019542836141438693,audio:marsyas
genre_indie rock,0.00015647581392355114,2.585180442210769e-05,genre
Area_Method_of_Moments_Overall_Standard_Deviation_5,0.0001564018015148605,3.647118626952861e-05,audio:Area_MoM
