iter,n_remaining,max_vif,dropped
1,152,9446716.983310971,Area_Method_of_Moments_Overall_Standard_Deviation_5
2,151,2062484.927213311,Area_Method_of_Moments_Overall_Standard_Deviation_7
3,150,1889302.022618473,Area_Method_of_Moments_Overall_Average_6
4,149,484436.24542099505,Area_Method_of_Moments_Overall_Standard_Deviation_9
5,148,144422.9451280102,Area_Method_of_Moments_Overall_Average_8
6,147,111205.15018587314,Area_Method_of_Moments_Overall_Average_4
7,146,15780.945881128764,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
8,145,13974.13458892187,Area_Method_of_Moments_Overall_Standard_Deviation_8
9,144,10662.205883042496,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
10,143,10082.283781708444,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
11,142,10027.26143524335,Area_Method_of_Moments_Overall_Average_9
12,141,9588.164066190435,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
13,140,9484.595369318326,Area_Method_of_Moments_Overall_Average_2
14,139,7867.849567753135,Mean_Acc5_Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
15,138,6944.116745571765,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
16,137,5885.934893403384,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
17,136,5271.763183724403,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
18,135,5042.41972902481,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
19,134,3956.9942645117417,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
20,133,3575.797997209215,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
21,132,3086.4452009557576,Root_Mean_Square_Overall_Average_1
22,131,2795.800214429694,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
23,130,2262.9807232812936,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
24,129,2121.6027553401623,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
25,128,1613.3757395008477,Area_Method_of_Moments_Overall_Standard_Deviation_10
26,127,1516.2255259193994,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
27,126,1372.8411352230753,Std_Acc5_Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
28,125,974.3913121154668,Std_Acc5_Std_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
29,124,904.5712297685537,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
30,123,835.5031469548774,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
