period,metric,average,threshold,pass,n_songs,method
Q1_春夏檔,loudness,-0.07686759999999992,,True,2,ILP
Q1_春夏檔,tempo,111.0,101.28,True,2,ILP
Q1_春夏檔,energy,0.125,0.0,True,2,ILP
Q1_春夏檔,danceability,0.1,,True,2,ILP
Q2_秋季檔,loudness,-3.3268676,,True,3,ILP
Q2_秋季檔,tempo,96.8,95.0,True,3,ILP
Q2_秋季檔,energy,0.0,,True,3,ILP
Q2_秋季檔,danceability,0.05000000000000001,,True,3,ILP
Q3_年末檔,loudness,-1.8268676,-6.0,True,2,ILP
Q3_年末檔,tempo,102.0,100.0,True,2,ILP
Q3_年末檔,energy,0.0,0.0,True,2,ILP
Q3_年末檔,danceability,0.01,0.0,True,2,ILP
Q1_春夏檔,loudness,0.4231324000000001,,True,2,傳統
Q1_春夏檔,tempo,120.0,101.28,True,2,傳統
Q1_春夏檔,energy,0.1,0.0,True,2,傳統
Q1_春夏檔,danceability,0.1,,True,2,傳統
Q2_秋季檔,loudness,2.6731324,,True,1,傳統
Q2_秋季檔,tempo,129.60000000000002,95.0,True,1,傳統
Q2_秋季檔,energy,0.18,,True,1,傳統
Q2_秋季檔,danceability,0.12,,True,1,傳統
Q3_年末檔,loudness,3.1731324,-6.0,True,1,傳統
Q3_年末檔,tempo,132.0,100.0,True,1,傳統
Q3_年末檔,energy,0.25,0.0,True,1,傳統
Q3_年末檔,danceability,0.2,0.0,True,1,傳統
